identifier,dc:identifier,dc:title,dc:creator,dc:description,dc:date,dc:subject,dc:source,dc:type1,dc:type2,dc:type,dc:format,dc:rights
oai:nwdh:mcl:oai:gallery.multcolib.org:1126,https://gallery.multcolib.org/node/1126,Loading books for delivery to ships,,"A panel truck with the inscription ""Public Library"" on its side is parked facing north at the Central Library's service entrance on SW 11th Avenue. The truck has a 1942 Oregon license plate. A man is loading boxes of books labeled ""American Merchant Marine Library Association"" into the truck. As early as 1920, the Library coordinated donations of books to be provided to men aboard ships. Transcribed from back of photo: '1945? Bookmobile services. 1942.'; ||",1940-1949,"Portland, Oregon; American Merchant Marine Library Association; Trucks; Truck drivers; Library outreach programs; Book donations; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1127,https://gallery.multcolib.org/node/1127,"People lounging on benches outside Central Library, circa 1917",,"Outside the front entrance of the Central Library on SW 10th Avenue seated on a bench with the inscription 'Henry Fielding' is Anna Smith Wohrman. The original photo was given to the library by Barbara Snow, granddaughter of Anna, in 2002. Transcribed from back of photo: 'This is out in front of the Public Library. It is wonder full inside. Nana. Anna Smith Wohrman ab. 1916 or '18'.; ||",1910-1919,"Portland, Oregon; Public libraries--Buildings; Library architecture; Benches; Decorative cast-ironwork; Facades; Women; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1128,https://gallery.multcolib.org/node/1128,Rose Parade library float,,"An early model car is covered in roses and greenery, with a large sign reading ""THE FREE PUBLIC LIBRARY LOANED 1385964 BOOKS LAST YEAR. DID YOU GET ONE?"" The car is parked on Taylor between 10th Avenue and 11th Avenue, with Central Library in the background. Transcribed from back of photo: 'Rose Festival Parade 1916'.; ||",1910-1919,"Portland, Oregon; Public libraries--Marketing; Portland Rose Festival; Automobiles; Public libraries--Circulation and loans; Roses; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1129,https://gallery.multcolib.org/node/1129,Umbrella Branch in Lownsdale Square,,"Many men, most in hats, are seen reading on benches and perusing the materials displayed atop collapsible tables at the Umbrella Branch. The Umbrella Branch  was located in Lownsdale Square at SW Fourth Avenue and Main Street. An outdoor reading and circulating library, the Umbrella Branch was started in 1937 and provided service in the summer months (typically July and August) through at least 1941. Lownsdale Square was to be a gentleman's gathering place. Chapman Square, the neighboring outdoor assembly area seen in the background, was designated during this time exclusively for women and children. Today men and women coexist in either square. Transcribed from back of photo: 'Umbrella library late 1930's'.; ||",1930-1939,"Portland, Oregon; Library users; Periodicals; Books; Library outreach programs; Urban parks; Folding chairs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1130,https://gallery.multcolib.org/node/1130,Patron at the Umbrella Branch,,"A man in overalls stands in front of a display table that is outside the library's Umbrella Branch, located in Lownsdale Square at SW 4th Avenue and Main Street. An outdoor reading and circulating library, the Umbrella Branch was started in 1937 and provided service in the summer months (typically July and August) through at least 1941. Folding cabinets full of books sit atop the table, with other literature displayed in front of the cabinets. On the left side of the table there is a sign that reads: 'Every occupation needs the worker who is well informed. Through the Multnomah County Library Service you can borrow from the special departments of the Public Library. Books on every subject. Engineering, Radio, Home Building, Salesmanship, Poultry Raising, Automobile Repair. Knowledge is Power.' Transcribed from back of photo: 'Umbrella library late 1930's'.; ||",1930-1939,"Portland, Oregon; Library outreach programs; Urban parks; Library users; Readers; Periodicals; Books; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1131,https://gallery.multcolib.org/node/1131,Readers at the Umbrella Branch,,"Over a dozen readers are seated on outdoor benches at the library's Umbrella Branch, located in Lownsdale Square at SW 4th Avenue and Main Street. A large striped umbrella provides shade for some. The 4th Avenue entrance to the Multnomah County Courthouse can be seen in the background. An outdoor reading and circulating library, the Umbrella Branch was started in 1937 and provided service in the summer months (typically July and August) through at least 1941. Transcribed from back of photo: 'Umbrella Branch August, 1939.' Transcribed from front of photo: 'National Youth Administration Photo Portland, Oregon'.; ||",1930-1939,"Portland, Oregon; Library outreach programs; Library users; Urban parks; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1132,https://gallery.multcolib.org/node/1132,Library staffer at the Umbrella Branch,,"A man with a stamp in his hand sits on a folding chair at a folding table at the library's Umbrella Branch in Lownsdale Square at SW 4th Avenue and Main Street. An ink pad sits on the table and a rectangular wooden file holds cards. In the background books and magazines are visible on shelves. A sign for a hotel is also visible in the background. It appears to be for the Rowland Hotel which was located at 929 SW 4th Avenue. The Umbrella Branch was started in 1937 and provided outdoor service in the summer months  through at least 1941. Transcribed from back of photo: 'Umbrella Branch August, 1939'. Transcribed from front of photo: 'National Youth Administration Photo Portland, Oregon'.; ||",1930-1939,"Portland, Oregon; Library outreach programs; Public libraries--Circulation and loans; Library employees; Urban parks; Folding chairs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1133,https://gallery.multcolib.org/node/1133,Bindery operation at Central Library,,"Three men in aprons are working in the bindery operation at Central Library, which was located on the first floor at the rear (11th Avenue side) of the building. Stacks of books are piled on a work table.The man on the left is using a glue brush to apply glue to a book. In the background there is a large nipping press, which would have been used to apply pressure to a book during the binding process. The man in the middle of the photo is probably William Klar, who worked in the bindery operation for 38 years before retiring in 1954.  In 1954 the book and periodical bindery was transferred from Central Library to the new Extension Center, located in the original Albina Branch. Transcribed from back of photo: '1949.'; ||",1940-1949,"Portland, Oregon; Bookbinding; Books; Library employees; Bookbinders; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC-RUU/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1134,https://gallery.multcolib.org/node/1134,Library employees at work in Stark Street Library office,,Davis P. Leach (left) and Daniel F.W. Bursch (middle) at work in a Stark Street Library office. An unknown employee stands at a table on the right. Two photos of the library can be seen on top of the bookshelves. Transcribed from back of photo: 'Left- DP Leach (Librarian)  Right- DFW Bursch (Assistant).'; ||,1890-1899,"Portland, Oregon; Librarians; Library technicians; Public libraries--Administration; Library administrators; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1135,https://gallery.multcolib.org/node/1135,First library building at 66 First Street,,"Benjamin Stark's building at 66 First Street (First and Stark) that housed the first library in Portland (1864-1869). This photograph was taken several decades after the library relocated. The library was located over the second and third stores from the corner. Transcribed from front of photo: ""First building at 66 Front Street'. Transcribed from back of photo: '66 First Street - First Library'.; ||",1910-1919,"Portland, Oregon; Subscription libraries; Historic buildings; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/NKC/1.0/
